species_id	species_alt_id	species_name	representative_genome	gtdb_taxonomy	operational_taxonomy	count_hgm	count_ref	gut_species	new_species	cultured_species	high_quality	signalp_type
OTU-14351	233356	Sneathia sanguinegens	SRS371462_1	d__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sneathia;s__Sneathia sanguinegens	d__Bacteria;p__01;c__006;o__022;f__0036;g__0106;s__14351	3	2	Yes	No	Yes	Yes	gram-negative
OTU-20295	240119	Enterobacteriaceae sp.	SRS371465_5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	d__Bacteria;p__08;c__064;o__363;f__0707;g__2434;s__20295	1	1	Yes	No	No	Yes	gram-negative
OTU-09829	261023	Erysipelotrichaceae HGM09829	SRS476098_155	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	d__Bacteria;p__01;c__014;o__046;f__0079;g__0270;s__09829	13	0	Yes	Yes	No	Yes	gram-positive
OTU-19490	257592	Sutterella HGM19490	ERS396516_81	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Sutterella	d__Bacteria;p__08;c__064;o__329;f__0616;g__1859;s__19490	7	0	Yes	Yes	No	Yes	gram-negative
OTU-12994	239438	Oscillospiraceae HGM12994	SRS820608_52	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	d__Bacteria;p__18;c__124;o__750;f__1482;g__6168;s__12994	5	0	Yes	Yes	No	Yes	gram-positive
OTU-05320	259586	Butyricimonas HGM05320	SRS024132_79	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas virosa	d__Bacteria;p__21;c__101;o__591;f__1148;g__4483;s__05320	17	0	Yes	Yes	No	Yes	gram-negative
OTU-12033	258851	Blautia sp.	ERS473296_9	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	d__Bacteria;p__18;c__124;o__762;f__1517;g__6656;s__12033	34	1	Yes	No	No	Yes	gram-positive
OTU-11805	251724	mt14 HGM11805	SRS254782_2	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__mt14	d__Bacteria;p__18;c__124;o__761;f__1525;g__6707;s__11805	9	0	Yes	Yes	No	Yes	gram-positive
OTU-20500	245546	Kluyvera ascorbata	1006000.3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera;s__Kluyvera ascorbata	d__Bacteria;p__08;c__064;o__363;f__0707;g__2434;s__20500	2	1	Yes	No	Yes	Yes	gram-negative
OTU-19491	229988	Sutterella HGM19491	SRS476296_41	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Sutterella	d__Bacteria;p__08;c__064;o__329;f__0616;g__1860;s__19491	7	0	Yes	Yes	No	Yes	gram-negative
OTU-14318	213404	Fusobacterium sp.	856.11	d__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A	d__Bacteria;p__01;c__006;o__022;f__0037;g__0112;s__14318	1	1	Yes	No	Yes	Yes	gram-negative
OTU-14120	233966	Dialisteraceae HGM14120	ERS608535_54	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Dialisteraceae	d__Bacteria;p__18;c__123;o__722;f__1410;g__5759;s__14120	2	0	Yes	Yes	No	Yes	gram-positive
OTU-12308	259110	Eubacterium HGM12308	ERS396539_41	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I	d__Bacteria;p__18;c__124;o__762;f__1517;g__6624;s__12308	2	0	Yes	Yes	No	Yes	gram-positive
OTU-11346	277148	Clostridia HGM11346	SRS476020_85	d__Bacteria;p__Firmicutes;c__Clostridia;o__4C28d-15	d__Bacteria;p__18;c__124;o__744;f__1457;g__6040;s__11346	3	0	Yes	Yes	No	Yes	gram-positive
