species_id	species_alt_id	species_name	representative_genome	gtdb_taxonomy	operational_taxonomy	count_hgm	count_ref	gut_species	new_species	cultured_species	high_quality	signalp_type
OTU-13386	252567	Ruminococcus sp.	ERS235525_24	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__	d__Bacteria;p__18;c__124;o__751;f__1498;g__6317;s__13386	90	1	Yes	No	No	Yes	gram-positive
OTU-20562	280241	Pantoea brenneri	2616644925	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__	d__Bacteria;p__08;c__064;o__363;f__0707;g__2434;s__20562	4	6	Yes	No	Yes	Yes	gram-negative
OTU-13054	255724	Oscillospiraceae HGM13054	SRS1596808_171	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110	d__Bacteria;p__18;c__124;o__750;f__1482;g__6167;s__13054	5	0	Yes	Yes	No	Yes	gram-positive
OTU-11540	219339	Christensenellales HGM11540	SRS1596836_50	d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales	d__Bacteria;p__18;c__124;o__746;f__1464;g__6055;s__11540	17	0	Yes	Yes	No	Yes	gram-positive
OTU-04917	257373	Prevotella HGM04917	SRS259515_36	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella	d__Bacteria;p__21;c__101;o__592;f__1144;g__4364;s__04917	2	0	Yes	Yes	No	Yes	gram-negative
OTU-10201	250358	Lactobacillus parabuchneri	152331.16	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_G;s__Lactobacillus_G parabuchneri	d__Bacteria;p__01;c__014;o__053;f__0107;g__0484;s__10201	5	25	Yes	No	Yes	Yes	gram-positive
OTU-10880	252952	RFN20 HGM10880	SRS475667_33	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-288	d__Bacteria;p__01;c__013;o__041;f__0071;g__0238;s__10880	18	0	Yes	Yes	No	Yes	gram-positive
OTU-05282	241002	Homeothermus sp.	ERS631827_89	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Homeothermaceae;g__Homeothermus;s__	d__Bacteria;p__21;c__101;o__592;f__1147;g__4456;s__05282	2	1	Yes	No	No	Yes	gram-negative
OTU-20790	262257	Haemophilus sp.	ERS473331_29	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D	d__Bacteria;p__08;c__064;o__363;f__0707;g__2432;s__20790	14	2	Yes	No	Yes	Yes	gram-negative
OTU-11566	237688	PeH17 HGM11566	ERS396388_56	d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17	d__Bacteria;p__18;c__124;o__746;f__1468;g__6096;s__11566	2	0	Yes	Yes	No	Yes	gram-positive
OTU-01721	253031	Varibaculum sp.	1870994.3	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__	d__Bacteria;p__23;c__114;o__654;f__1270;g__5242;s__01721	1	1	Yes	No	Yes	Yes	gram-positive
OTU-20898	253990	Anaerobiospirillum succiniciproducens	1120988.3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens	d__Bacteria;p__08;c__064;o__363;f__0725;g__2526;s__20898	1	1	Yes	No	Yes	Yes	gram-negative
OTU-05026	262191	Prevotella copri	SRS144714_48	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri	d__Bacteria;p__21;c__101;o__592;f__1144;g__4368;s__05026	416	5	Yes	No	Yes	Yes	gram-negative
OTU-12087	257527	Butyrivibrio crossotus	SRS063190_17	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__Butyrivibrio_A crossotus	d__Bacteria;p__18;c__124;o__762;f__1517;g__6479;s__12087	173	3	Yes	No	Yes	Yes	gram-positive
OTU-13285	259780	Faecalibacterium HGM13285	SRS017307_13	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	d__Bacteria;p__18;c__124;o__753;f__1494;g__6284;s__13285	18	0	Yes	Yes	No	Yes	gram-positive
OTU-10847	248037	RF39 sp.	ERS537358_60	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__CAG-611;s__	d__Bacteria;p__01;c__014;o__047;f__0087;g__0347;s__10847	14	1	Yes	No	No	Yes	gram-positive
OTU-19508	260611	Sutterella HGM19508	SRS476034_4	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Sutterella	d__Bacteria;p__08;c__064;o__329;f__0616;g__1863;s__19508	36	0	Yes	Yes	No	Yes	gram-negative
OTU-23695	206982	Akkermansia HGM23695	ERS608607_23	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	d__Bacteria;p__20;c__094;o__537;f__1029;g__3837;s__23695	9	0	Yes	Yes	No	Yes	gram-negative
OTU-12866	259541	DTU089 HGM12866	ERS608475_34	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__DTU089;g__CAG-251	d__Bacteria;p__18;c__124;o__751;f__1488;g__6212;s__12866	43	0	Yes	Yes	No	Yes	gram-positive
OTU-10053	224846	Enterococcus dispar	1139219.4	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_C;s__Enterococcus_C dispar	d__Bacteria;p__01;c__014;o__053;f__0109;g__0503;s__10053	2	4	Yes	No	Yes	Yes	gram-positive
OTU-04923	238013	Prevotella HGM04923	ERS396329_76	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella	d__Bacteria;p__21;c__101;o__592;f__1144;g__4366;s__04923	3	0	Yes	Yes	No	Yes	gram-negative
OTU-04322	259119	Enorma massiliensis	165190.3	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma;s__Enorma massiliensis	d__Bacteria;p__23;c__115;o__659;f__1278;g__5352;s__04322	6	5	Yes	No	Yes	Yes	gram-positive
OTU-05242	260845	Homeothermaceae HGM05242	SRS021484_36	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Homeothermaceae;g__CAG-485	d__Bacteria;p__21;c__101;o__592;f__1147;g__4442;s__05242	2	0	Yes	Yes	No	Yes	gram-negative
OTU-09914	213569	Turicibacter sanguinis	SRS015578_61	d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sanguinis	d__Bacteria;p__01;c__014;o__052;f__0101;g__0419;s__09914	5	3	Yes	No	Yes	Yes	gram-positive
OTU-11564	278699	Christensenellales HGM11564	SRS049959_8	d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__CAG-138;g__CAG-226	d__Bacteria;p__18;c__124;o__746;f__1468;g__6090;s__11564	2	0	Yes	Yes	No	Yes	gram-positive
OTU-11449	257383	Clostridia sp.	SRS098571_67	d__Bacteria;p__Firmicutes;c__Clostridia;o__4C28d-15;f__CAG-917;g__CAG-349;s__CAG-349 sp1	d__Bacteria;p__18;c__124;o__739;f__1446;g__5989;s__11449	130	1	Yes	No	No	Yes	gram-positive
OTU-12177	254043	Lachnospiraceae HGM12177	ERS396410_82	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882	d__Bacteria;p__18;c__124;o__762;f__1517;g__6478;s__12177	83	0	Yes	Yes	No	Yes	gram-positive
OTU-20779	260979	Haemophilus influenzae	727.550	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__	d__Bacteria;p__08;c__064;o__363;f__0707;g__2432;s__20779	2	2	Yes	No	Yes	Yes	gram-negative
OTU-14145	229361	Anaeroglobus sp.	ERS396515_10	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Anaeroglobus;s__	d__Bacteria;p__18;c__123;o__722;f__1409;g__5753;s__14145	5	1	Yes	No	Yes	Yes	gram-positive
OTU-14314	257960	Fusobacterium sp.	2554235311	d__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum_D	d__Bacteria;p__01;c__006;o__022;f__0037;g__0114;s__14314	3	32	Yes	No	Yes	Yes	gram-negative
OTU-04924	255617	Prevotella sp.	SRS476106_55	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella	d__Bacteria;p__21;c__101;o__592;f__1144;g__4366;s__04924	120	1	Yes	No	No	Yes	gram-negative
OTU-10135	261618	Lactobacillus ruminis	ERS396421_17	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_B;s__Lactobacillus_B ruminis	d__Bacteria;p__01;c__014;o__053;f__0107;g__0459;s__10135	94	19	Yes	No	Yes	Yes	gram-positive
OTU-21798	262251	Acinetobacter pittii	1217672.3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter pittii	d__Bacteria;p__08;c__064;o__361;f__0705;g__2423;s__21798	2	212	Yes	No	Yes	Yes	gram-negative
OTU-04769	253203	Bacteroides HGM04769	SRS294876_18	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B	d__Bacteria;p__21;c__101;o__592;f__1142;g__4351;s__04769	2	0	Yes	Yes	No	Yes	gram-negative
OTU-11444	238816	UBA10281 HGM11444	SRS475537_63	d__Bacteria;p__Firmicutes;c__Clostridia;o__4C28d-15;f__CAG-727;g__UBA10281	d__Bacteria;p__18;c__124;o__741;f__1452;g__6011;s__11444	15	0	Yes	Yes	No	Yes	gram-positive
OTU-02437	247219	Rothia HGM02437	ERS473172_3	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	d__Bacteria;p__23;c__114;o__654;f__1272;g__5322;s__02437	3	0	Yes	Yes	No	Yes	gram-positive
OTU-20410	250040	Enterobacter cloacae	550.1121	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter kobei	d__Bacteria;p__08;c__064;o__363;f__0707;g__2434;s__20410	8	65	Yes	No	Yes	Yes	gram-negative
OTU-12226	255535	COE1 sp.	ERS473343_37	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	d__Bacteria;p__18;c__124;o__762;f__1519;g__6563;s__12226	72	2	Yes	No	No	Yes	gram-positive
OTU-10467	262169	Streptococcus parasanguinis	1739422.3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	d__Bacteria;p__01;c__014;o__053;f__0110;g__0496;s__10467	34	26	Yes	No	Yes	Yes	gram-positive
OTU-10823	258394	RF39 HGM10823	ERS537285_60	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-433;g__CAG-433	d__Bacteria;p__01;c__014;o__047;f__0088;g__0365;s__10823	6	0	Yes	Yes	No	Yes	gram-positive
OTU-01718	260912	Varibaculum cambriense	ERS473180_22	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	d__Bacteria;p__23;c__114;o__654;f__1270;g__5242;s__01718	8	2	Yes	No	Yes	Yes	gram-positive
OTU-12099	255122	Lachnospiraceae sp.	ERS473219_31	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp2	d__Bacteria;p__18;c__124;o__762;f__1518;g__6529;s__12099	286	1	Yes	No	No	Yes	gram-positive
OTU-11809	242325	Clostridiaceae HGM11809	ERS537382_35	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Clostridiaceae_C	d__Bacteria;p__18;c__124;o__761;f__1524;g__6695;s__11809	11	0	Yes	Yes	No	Yes	gram-positive
OTU-12750	213286	DTU089 HGM12750	SRS476833_35	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__DTU089	d__Bacteria;p__18;c__124;o__751;f__1489;g__6216;s__12750	3	0	Yes	Yes	No	Yes	gram-positive
OTU-12981	259233	Oscillospiraceae HGM12981	SRS475566_125	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	d__Bacteria;p__18;c__124;o__750;f__1481;g__6148;s__12981	16	0	Yes	Yes	No	Yes	gram-positive
OTU-20364	219883	Citrobacter sp.	1563222.3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter pasteurii	d__Bacteria;p__08;c__064;o__363;f__0707;g__2434;s__20364	1	1	Yes	No	Yes	Yes	gram-negative
OTU-04234	262007	Collinsella HGM04234	ERS608497_37	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	d__Bacteria;p__23;c__115;o__659;f__1278;g__5354;s__04234	2	0	Yes	Yes	No	Yes	gram-positive
OTU-14303	245887	Cetobacterium sp.	1319815.3	d__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium;s__Cetobacterium somerae	d__Bacteria;p__01;c__006;o__022;f__0037;g__0115;s__14303	1	1	Yes	No	Yes	Yes	gram-negative
OTU-13169	261790	Oscillibacter sp.	1897011.3	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	d__Bacteria;p__18;c__124;o__750;f__1481;g__6146;s__13169	147	1	Yes	No	No	Yes	gram-positive
OTU-11980	231022	Bacteroides pectinophilus	SRS098644_2	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bacteroides_F;s__Bacteroides_F pectinophilus	d__Bacteria;p__18;c__124;o__762;f__1517;g__6494;s__11980	28	2	Yes	No	Yes	Yes	gram-positive
OTU-05573	257721	Alistipes finegoldii	SRS820594_22	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii	d__Bacteria;p__21;c__101;o__591;f__1149;g__4500;s__05573	158	3	Yes	No	Yes	Yes	gram-negative
OTU-11510	244610	Clostridia HGM11510	ERS537304_87	d__Bacteria;p__Firmicutes;c__Clostridia;o__CAG-41	d__Bacteria;p__18;c__124;o__749;f__1476;g__6119;s__11510	4	0	Yes	Yes	No	Yes	gram-positive
OTU-12751	207009	DTU089 HGM12751	ERS537306_85	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__DTU089	d__Bacteria;p__18;c__124;o__751;f__1493;g__6271;s__12751	5	0	Yes	Yes	No	Yes	gram-positive
OTU-12374	260172	KLE1615 sp.	ERS473088_19	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615;s__KLE1615 sp1	d__Bacteria;p__18;c__124;o__762;f__1517;g__6476;s__12374	107	2	Yes	No	Yes	Yes	gram-positive
OTU-13086	240587	Oscillospiraceae HGM13086	ERS235630_59	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83	d__Bacteria;p__18;c__124;o__750;f__1481;g__6148;s__13086	14	0	Yes	Yes	No	Yes	gram-positive
OTU-10780	252560	RF39 HGM10780	SRS011134_14	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-460	d__Bacteria;p__01;c__014;o__047;f__0084;g__0320;s__10780	7	0	Yes	Yes	No	Yes	gram-positive
OTU-09865	243887	Faecalitalea cylindroides	1263016.3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	d__Bacteria;p__01;c__014;o__046;f__0082;g__0288;s__09865	12	9	Yes	No	Yes	Yes	gram-positive
OTU-10828	262532	RF39 HGM10828	SRS820626_38	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-433;g__CAG-594	d__Bacteria;p__01;c__014;o__047;f__0088;g__0367;s__10828	1	0	Yes	Yes	No	Yes	gram-positive
OTU-23186	249060	Treponema HGM23186	SRS475648_8	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D	d__Bacteria;p__00;c__002;o__012;f__0015;g__0053;s__23186	12	0	Yes	Yes	No	Yes	gram-negative
OTU-12752	239410	DTU089 HGM12752	SRS1596836_2	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__DTU089	d__Bacteria;p__18;c__124;o__751;f__1487;g__6201;s__12752	9	0	Yes	Yes	No	Yes	gram-positive
OTU-12316	259097	Eubacterium HGM12316	SRS1596842_68	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J	d__Bacteria;p__18;c__124;o__762;f__1517;g__6621;s__12316	42	0	Yes	Yes	No	Yes	gram-positive
OTU-11897	221375	Lachnospiraceae HGM11897	ERS537286_43	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	d__Bacteria;p__18;c__124;o__762;f__1517;g__6543;s__11897	5	0	Yes	Yes	No	Yes	gram-positive
OTU-04238	262247	Collinsella HGM04238	SRS1596789_13	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	d__Bacteria;p__23;c__115;o__659;f__1278;g__5354;s__04238	20	0	Yes	Yes	No	Yes	gram-positive
OTU-04239	275955	Collinsella HGM04239	ERS608615_52	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	d__Bacteria;p__23;c__115;o__659;f__1278;g__5354;s__04239	1	0	Yes	Yes	No	Yes	gram-positive
OTU-10917	275962	RFN20 HGM10917	ERS396424_30	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826	d__Bacteria;p__01;c__013;o__038;f__0068;g__0229;s__10917	1	0	Yes	Yes	No	Yes	gram-positive
OTU-10216	210435	Lactobacillus HGM10216	SRS259526_22	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_H	d__Bacteria;p__01;c__014;o__053;f__0107;g__0476;s__10216	4	0	Yes	Yes	No	Yes	gram-positive
OTU-10281	253210	Leuconostoc lactis	SRS255102_30	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc	d__Bacteria;p__01;c__014;o__053;f__0108;g__0467;s__10281	5	12	Yes	No	Yes	Yes	gram-positive
OTU-08675	240626	Desulfovibrio sp.	SRS1596874_4	d__Bacteria;p__Desulfobacteraeota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	d__Bacteria;p__17;c__082;o__440;f__0857;g__3234;s__08675	2	1	Yes	No	No	Yes	gram-negative
OTU-14170	275983	F0422 HGM14170	SRS373047_9	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__F0422	d__Bacteria;p__18;c__123;o__722;f__1409;g__5754;s__14170	1	0	Yes	Yes	No	Yes	gram-positive
OTU-11569	240019	PeH17 sp.	SRS476121_4	d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp1	d__Bacteria;p__18;c__124;o__746;f__1468;g__6097;s__11569	224	1	Yes	No	No	Yes	gram-positive
OTU-11446	257408	UBA10281 sp.	SRS476518_59	d__Bacteria;p__Firmicutes;c__Clostridia;o__4C28d-15;f__CAG-727;g__UBA10281;s__	d__Bacteria;p__18;c__124;o__741;f__1452;g__6011;s__11446	38	1	Yes	No	No	Yes	gram-positive
OTU-14147	260769	Megasphaera micronuciformis	ERS473315_16	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Anaeroglobus;s__Anaeroglobus micronuciformis	d__Bacteria;p__18;c__123;o__722;f__1409;g__5753;s__14147	16	1	Yes	No	Yes	Yes	gram-positive
OTU-22315	217937	Pseudomonas extremaustralis	359110.9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E extremaustralis	d__Bacteria;p__08;c__064;o__358;f__0694;g__2337;s__22315	2	3	Yes	No	Yes	Yes	gram-negative
OTU-09796	262588	Catenibacterium HGM09796	SRS820578_4	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium	d__Bacteria;p__01;c__014;o__045;f__0076;g__0259;s__09796	1	0	Yes	Yes	No	Yes	gram-positive
OTU-12088	251481	Lachnospiraceae HGM12088	SRS476276_66	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127	d__Bacteria;p__18;c__124;o__762;f__1518;g__6529;s__12088	6	0	Yes	Yes	No	Yes	gram-positive
OTU-10830	261530	RF39 sp.	ERS235519_48	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-433;g__CAG-594;s__	d__Bacteria;p__01;c__014;o__047;f__0088;g__0367;s__10830	32	1	Yes	No	No	Yes	gram-positive
OTU-10178	257161	Lactobacillus brevis	1334191.3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_G;s__Lactobacillus_G brevis	d__Bacteria;p__01;c__014;o__053;f__0107;g__0480;s__10178	1	47	Yes	No	Yes	Yes	gram-positive
OTU-19515	250832	Sutterella wadsworthensis	SRS1596807_67	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Sutterella;s__Sutterella sp3	d__Bacteria;p__08;c__064;o__329;f__0616;g__1859;s__19515	218	4	Yes	No	Yes	Yes	gram-negative
OTU-11818	257338	Clostridium sp.	ERS608550_64	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Clostridiaceae_C;g__Clostridium_V	d__Bacteria;p__18;c__124;o__761;f__1524;g__6699;s__11818	147	1	Yes	No	No	Yes	gram-positive
OTU-11901	250676	Lachnospiraceae HGM11901	SRS259497_2	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	d__Bacteria;p__18;c__124;o__762;f__1517;g__6686;s__11901	10	0	Yes	Yes	No	Yes	gram-positive
OTU-12664	261765	Oscillospirales HGM12664	ERS396348_42	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__CAG-272	d__Bacteria;p__18;c__124;o__755;f__1504;g__6408;s__12664	7	0	Yes	Yes	No	Yes	gram-positive
OTU-19509	258019	Sutterella HGM19509	SRS295002_41	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Sutterella	d__Bacteria;p__08;c__064;o__329;f__0616;g__1863;s__19509	42	0	Yes	Yes	No	Yes	gram-negative
OTU-08837	254256	Elusimicrobiaceae HGM08837	SRS476104_57	d__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae	d__Bacteria;p__08;c__085;o__488;f__0944;g__3545;s__08837	63	0	Yes	Yes	No	Yes	gram-negative
OTU-09863	239027	Faecalicoccus HGM09863	ERS473238_92	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalicoccus	d__Bacteria;p__01;c__014;o__046;f__0082;g__0289;s__09863	5	0	Yes	Yes	No	Yes	gram-positive
OTU-05535	262624	Alistipes HGM05535	ERS396377_28	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	d__Bacteria;p__21;c__101;o__591;f__1149;g__4505;s__05535	1	0	Yes	Yes	No	Yes	gram-negative
OTU-12985	253140	Oscillospiraceae HGM12985	ERS537214_55	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	d__Bacteria;p__18;c__124;o__750;f__1482;g__6168;s__12985	12	0	Yes	Yes	No	Yes	gram-positive
OTU-10615	212989	Bacilli sp.	SRS014979_16	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-313;g__CAG-313;s__	d__Bacteria;p__01;c__014;o__048;f__0089;g__0371;s__10615	41	1	Yes	No	No	Yes	gram-positive
OTU-10813	261416	RF39 sp.	SRS147271_5	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-302;g__CAG-302;s__	d__Bacteria;p__01;c__014;o__047;f__0086;g__0341;s__10813	103	1	Yes	No	No	Yes	gram-positive
OTU-12518	261033	Ruminococcus sp.	59620.22	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__	d__Bacteria;p__18;c__124;o__762;f__1517;g__6652;s__12518	3	2	Yes	No	Yes	Yes	gram-positive
OTU-01788	261920	Bifidobacterium sp.	890402.3	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	d__Bacteria;p__23;c__114;o__653;f__1260;g__5068;s__01788	698	117	Yes	No	Yes	Yes	gram-positive
OTU-05669	260188	RC9 sp.	1262742.3	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__RC9;s__	d__Bacteria;p__21;c__101;o__594;f__1151;g__4532;s__05669	49	1	Yes	No	No	Yes	gram-negative
OTU-04246	267140	Collinsella HGM04246	ERS608584_25	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	d__Bacteria;p__23;c__115;o__659;f__1278;g__5354;s__04246	1	0	Yes	Yes	No	Yes	gram-positive
OTU-13236	223707	Anaerotruncus HGM13236	SRS076929_13	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus	d__Bacteria;p__18;c__124;o__751;f__1496;g__6343;s__13236	3	0	Yes	Yes	No	Yes	gram-positive
OTU-05211	250794	Homeothermaceae sp.	ERS608503_22	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Homeothermaceae;g__CAG-1031;s__	d__Bacteria;p__21;c__101;o__592;f__1147;g__4452;s__05211	17	2	Yes	No	No	Yes	gram-negative
